Ticker,mention_count,avg_sentiment,total_sentiment
OXGN,1,1.0,1
OXY,1,1.0,1
OZM,1,-1.0,-1
OGE,1,-1.0,-1
OKE,1,1.0,1
OMAB,1,1.0,1
DTK,1,1.0,1
LULU,1,-1.0,-1
DYNT,1,1.0,1
EAD,1,-1.0,-1
EAST,1,1.0,1
DOX,1,-1.0,-1
MCA,1,1.0,1
MCBC,1,1.0,1
PGTI,1,1.0,1
ONCY,1,1.0,1
ONNN,1,1.0,1
ONP,1,-1.0,-1
NSC,1,1.0,1
NTAP,1,-1.0,-1
NTES,1,1.0,1
NVAX,1,1.0,1
COKE,1,1.0,1
CMGO,1,1.0,1
NYNY,1,1.0,1
NYT,1,1.0,1
COR,1,-1.0,-1
PFMT,1,1.0,1
PGH,1,1.0,1
PGNX,1,1.0,1
CNQ,1,1.0,1
CNX,1,1.0,1
CII,1,-1.0,-1
CITY,1,1.0,1
PHI,1,-1.0,-1
PHIL,1,-1.0,-1
COB,1,1.0,1
COIL,1,1.0,1
FIED,1,1.0,1
CJES,1,1.0,1
CLD,1,1.0,1
CLUB,1,1.0,1
XRX,1,1.0,1
FMX,1,1.0,1
FNGN,1,1.0,1
PIP,1,1.0,1
FISV,1,1.0,1
FLEW,1,-1.0,-1
FLUX,1,1.0,1
FMD,1,-1.0,-1
HAIN,1,1.0,1
HAYN,1,1.0,1
FNSR,1,1.0,1
FOE,1,1.0,1
ECT,1,1.0,1
HBI,1,1.0,1
FE,1,-1.0,-1
FET,1,1.0,1
GRA,1,1.0,1
GREW,1,-1.0,-1
GSK,1,-1.0,-1
GST,1,-1.0,-1
MCK,1,1.0,1
DVN,1,1.0,1
DXPE,1,1.0,1
KIO,1,1.0,1
ENT,1,1.0,1
ENVI,1,1.0,1
ENZN,1,1.0,1
EPIQ,1,-1.0,-1
PSTI,1,1.0,1
PWE,1,-1.0,-1
QEP,1,1.0,1
QGEN,1,1.0,1
PPG,1,-1.0,-1
RAX,1,1.0,1
